[2020-12-21 13:59:44,031]|INFO  : setUpClass
[2020-12-21 13:59:44,032]|INFO  : test_1_one start
[2020-12-21 13:59:44,438]|INFO  : test_1_one start
[2020-12-21 13:59:44,466]|INFO  : test_1_one start
[2020-12-21 13:59:44,498]|INFO  : test_1_one start
[2020-12-21 13:59:44,561]|INFO  : test_1_one start
[2020-12-21 13:59:44,598]|INFO  : test_1_one start
[2020-12-21 13:59:44,629]|INFO  : test_1_one start
[2020-12-21 13:59:44,687]|INFO  : test_1_one start
[2020-12-21 13:59:44,717]|INFO  : test_1_one start
[2020-12-21 13:59:44,748]|INFO  : test_1_one start
[2020-12-21 13:59:44,850]|INFO  : test_1_one start
[2020-12-21 13:59:44,907]|INFO  : test_1_one start
[2020-12-21 13:59:44,935]|INFO  : test_1_one start
[2020-12-21 13:59:44,966]|INFO  : test_1_one start
[2020-12-21 13:59:45,026]|INFO  : test_1_one start
[2020-12-21 13:59:45,055]|INFO  : test_1_one start
[2020-12-21 13:59:45,084]|INFO  : test_1_one start
[2020-12-21 13:59:45,142]|INFO  : test_1_one start
[2020-12-21 13:59:45,177]|INFO  : test_1_one start
[2020-12-21 13:59:45,204]|INFO  : test_1_one start
[2020-12-21 13:59:45,263]|INFO  : test_1_one start
[2020-12-21 13:59:45,295]|INFO  : test_1_one start
[2020-12-21 13:59:45,325]|INFO  : test_1_one start
[2020-12-21 13:59:45,402]|INFO  : test_1_one start
[2020-12-21 13:59:45,431]|DEBUG : this is test 3
